Source,Mission,year,month,location,country,latitude,longitude,No.troops,RPF,RPF_No,RES,RES_No,FP,FP_No,No.TCC,name.of.TCC1,No.troops.per.TCC1,name.of.TCC2,No.troops.per.TCC2,name.of.TCC3,No.troops.per.TCC3,name.of.TCC4,No.troops.per.TCC4,name.of.TCC5,No.troops.per.TCC5,name.of.TCC6,No.troops.per.TCC6,name.of.TCC7,No.troops.per.TCC7,name.of.TCC8,No.troops.per.TCC8,name.of.TCC9,No.troops.per.TCC9,name.of.TCC10,No.troops.per.TCC10,name.of.TCC11,No.troops.per.TCC11,name.of.TCC12,No.troops.per.TCC12,name.of.TCC13,No.troops.per.TCC13,name.of.TCC14,No.troops.per.TCC14,UNPOL..dummy.,UNMO..dummy.,HQ,LO,comments,cow_code,gwno,name,TCC1,TCC2,TCC3,TCC4,TCC5,TCC6,TCC7,TCC8,TCC9,TCC10,TCC11,TCC12,TCC13,TCC14,ADM1_id,ADM1_name,ADM2_id,ADM2_name,PRIOID
Map no. 3691 Rev.29,MINURSO,2000,7,Bir Lahlou,Western Sahara,26.3268627,-9.5494739,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167381
Map no. 3691 Rev.29,MINURSO,2000,7,Laayoune,Western Sahara,27.135,-13.1625,unknown,NA,NA,0,0,0,0,unknown,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,Identification Center | med size not specified,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3450,La̢youne - Boujdour - Sakia El Hamra,254806,NA,168814
Map no. 3691 Rev.29,MINURSO,2000,7,Mahbas,Western Sahara,27.424267,-9.06598,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168822
Map no. 3691 Rev.29,MINURSO,2000,7,Mehaires,Western Sahara,26.1472,-11.0692,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167378
Map no. 3691 Rev.29,MINURSO,2000,7,Mijek,Western Sahara,23.4735871,-12.7597541,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,163055
Map no. 3691 Rev.29,MINURSO,2000,7,Oum Dreyga,Western Sahara,24.166667,-13.25,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,164494
Map no. 3691 Rev.29,MINURSO,2000,7,Tifariti,Western Sahara,26.092778,-10.608889,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167379
Map no. 3691 Rev.29,MINURSO,2000,7,Ad Dakhla,Western Sahara,23.660915,-15.953219,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163769
Map no. 3691 Rev.29,MINURSO,2000,7,Smara,Western Sahara,26.73841,-11.67194,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0, Medical Station,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168097
Map no. 3691 Rev.30,MINURSO,2000,10,Tindouf,Algeria,27.67111,-8.14743,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1, Medical Station,615,615,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,Tindouf,2060,Tindouf,169544
Map no. 3691 Rev.30,MINURSO,2000,10,Agwanit,Western Sahara,22.1934,-13.140930000000001,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,161614
Map no. 3691 Rev.30,MINURSO,2000,10,Awsard,Western Sahara,22.551639,-14.331643,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"UN Team site, Medical Station",600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,162332
Map no. 3691 Rev.30,MINURSO,2000,10,Bir Lahlou,Western Sahara,26.3268627,-9.5494739,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167381
Map no. 3691 Rev.30,MINURSO,2000,10,Laayoune,Western Sahara,27.135,-13.1625,unknown,NA,NA,0,0,0,0,unknown,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,Identification Center | med size not specified,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3450,La̢youne - Boujdour - Sakia El Hamra,254806,NA,168814
Map no. 3691 Rev.30,MINURSO,2000,10,Mahbas,Western Sahara,27.424267,-9.06598,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168822
Map no. 3691 Rev.30,MINURSO,2000,10,Mehaires,Western Sahara,26.1472,-11.0692,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167378
Map no. 3691 Rev.30,MINURSO,2000,10,Mijek,Western Sahara,23.4735871,-12.7597541,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,163055
Map no. 3691 Rev.30,MINURSO,2000,10,Oum Dreyga,Western Sahara,24.166667,-13.25,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,164494
Map no. 3691 Rev.30,MINURSO,2000,10,Tifariti,Western Sahara,26.092778,-10.608889,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167379
Map no. 3691 Rev.30,MINURSO,2000,10,Ad Dakhla,Western Sahara,23.660915,-15.953219,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163769
Map no. 3691 Rev.30,MINURSO,2000,10,Smara,Western Sahara,26.73841,-11.67194,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0, Medical Station,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168097
Map no. 3691 Rev.31,MINURSO,2001,2,Tindouf,Algeria,27.67111,-8.14743,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1, Medical Station,615,615,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,Tindouf,2060,Tindouf,169544
Map no. 3691 Rev.31,MINURSO,2001,2,Agwanit,Western Sahara,22.1934,-13.140930000000001,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,161614
Map no. 3691 Rev.31,MINURSO,2001,2,Awsard,Western Sahara,22.551639,-14.331643,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"UN Team site,  Medical Station",600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,162332
Map no. 3691 Rev.31,MINURSO,2001,2,Bir Lahlou,Western Sahara,26.3268627,-9.5494739,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167381
Map no. 3691 Rev.31,MINURSO,2001,2,Laayoune,Western Sahara,27.135,-13.1625,unknown,NA,NA,0,0,0,0,unknown,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,Identification Center | med size not specified,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3450,La̢youne - Boujdour - Sakia El Hamra,254806,NA,168814
Map no. 3691 Rev.31,MINURSO,2001,2,Mahbas,Western Sahara,27.424267,-9.06598,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168822
Map no. 3691 Rev.31,MINURSO,2001,2,Mehaires,Western Sahara,26.1472,-11.0692,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167378
Map no. 3691 Rev.31,MINURSO,2001,2,Mijek,Western Sahara,23.4735871,-12.7597541,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,163055
Map no. 3691 Rev.31,MINURSO,2001,2,Oum Dreyga,Western Sahara,24.166667,-13.25,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,164494
Map no. 3691 Rev.31,MINURSO,2001,2,Tifariti,Western Sahara,26.092778,-10.608889,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167379
Map no. 3691 Rev.31,MINURSO,2001,2,Ad Dakhla,Western Sahara,23.660915,-15.953219,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163769
Map no. 3691 Rev.31,MINURSO,2001,2,Smara,Western Sahara,26.73841,-11.67194,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0, Medical Station,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168097
Map no. 3691 Rev.32,MINURSO,2001,4,Tindouf,Algeria,27.67111,-8.14743,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1, Medical Station,615,615,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,Tindouf,2060,Tindouf,169544
Map no. 3691 Rev.32,MINURSO,2001,4,Agwanit,Western Sahara,22.1934,-13.140930000000001,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,161614
Map no. 3691 Rev.32,MINURSO,2001,4,Awsard,Western Sahara,22.551639,-14.331643,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"UN Team site,  Medical Station",600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,162332
Map no. 3691 Rev.32,MINURSO,2001,4,Bir Lahlou,Western Sahara,26.3268627,-9.5494739,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167381
Map no. 3691 Rev.32,MINURSO,2001,4,Laayoune,Western Sahara,27.135,-13.1625,unknown,NA,NA,0,0,0,0,unknown,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,Identification Center | med size not specified,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3450,La̢youne - Boujdour - Sakia El Hamra,254806,NA,168814
Map no. 3691 Rev.32,MINURSO,2001,4,Mahbas,Western Sahara,27.424267,-9.06598,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168822
Map no. 3691 Rev.32,MINURSO,2001,4,Mehaires,Western Sahara,26.1472,-11.0692,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167378
Map no. 3691 Rev.32,MINURSO,2001,4,Mijek,Western Sahara,23.4735871,-12.7597541,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,163055
Map no. 3691 Rev.32,MINURSO,2001,4,Oum Dreyga,Western Sahara,24.166667,-13.25,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,164494
Map no. 3691 Rev.32,MINURSO,2001,4,Tifariti,Western Sahara,26.092778,-10.608889,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167379
Map no. 3691 Rev.32,MINURSO,2001,4,Ad Dakhla,Western Sahara,23.660915,-15.953219,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163769
Map no. 3691 Rev.32,MINURSO,2001,4,Smara,Western Sahara,26.73841,-11.67194,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0, Medical Station,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168097
Map no. 3691 Rev.33,MINURSO,2001,6,Tindouf,Algeria,27.67111,-8.14743,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1, Medical Station,615,615,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,Tindouf,2060,Tindouf,169544
Map no. 3691 Rev.33,MINURSO,2001,6,Agwanit,Western Sahara,22.1934,-13.140930000000001,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,161614
Map no. 3691 Rev.33,MINURSO,2001,6,Awsard,Western Sahara,22.551639,-14.331643,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"UN Team site,  Medical Station",600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,162332
Map no. 3691 Rev.33,MINURSO,2001,6,Bir Lahlou,Western Sahara,26.3268627,-9.5494739,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167381
Map no. 3691 Rev.33,MINURSO,2001,6,Laayoune,Western Sahara,27.135,-13.1625,unknown,NA,NA,0,0,0,0,unknown,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,Identification Center | med size not specified,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3450,La̢youne - Boujdour - Sakia El Hamra,254806,NA,168814
Map no. 3691 Rev.33,MINURSO,2001,6,Mahbas,Western Sahara,27.424267,-9.06598,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,Guelmim - Es-Semara,254805,NA,168822
Map no. 3691 Rev.33,MINURSO,2001,6,Mehaires,Western Sahara,26.1472,-11.0692,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167378
Map no. 3691 Rev.33,MINURSO,2001,6,Mijek,Western Sahara,23.4735871,-12.7597541,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254807,NA,163055
Map no. 3691 Rev.33,MINURSO,2001,6,Oum Dreyga,Western Sahara,24.166667,-13.25,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,Oued el Dahab,254807,NA,164494
Map no. 3691 Rev.33,MINURSO,2001,6,Tifariti,Western Sahara,26.092778,-10.608889,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,UN Team site,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,Western Sahara,254805,NA,167379
Map no. 3691 Rev.33,MINURSO,2001,6,Ad Dakhla,Western Sahara,23.660915,-15.953219,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,,600,600,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163769
